"Cortas de madera según especie. Concejos"

"Ámbito territorial";"TOTAL 2006";"TOTAL 2007";"TOTAL 2008";"TOTAL 2009";"TOTAL 2010";"TOTAL 2011";"TOTAL 2012";"TOTAL 2013";"TOTAL 2014";"TOTAL 2015";"TOTAL 2016";"TOTAL 2017";"TOTAL 2018";"Castaño 2006";"Castaño 2007";"Castaño 2008";"Castaño 2009";"Castaño 2010";"Castaño 2011";"Castaño 2012";"Castaño 2013";"Castaño 2014";"Castaño 2015";"Castaño 2016";"Castaño 2017";"Castaño 2018";"Eucalipto 2006";"Eucalipto 2007";"Eucalipto 2008";"Eucalipto 2009";"Eucalipto 2010";"Eucalipto 2011";"Eucalipto 2012";"Eucalipto 2013";"Eucalipto 2014";"Eucalipto 2015";"Eucalipto 2016";"Eucalipto 2017";"Eucalipto 2018";"Pino pinaster 2006";"Pino pinaster 2007";"Pino pinaster 2008";"Pino pinaster 2009";"Pino pinaster 2010";"Pino pinaster 2011";"Pino pinaster 2012";"Pino pinaster 2013";"Pino pinaster 2014";"Pino pinaster 2015";"Pino pinaster 2016";"Pino pinaster 2017";"Pino pinaster 2018";"Pino radiata 2006";"Pino radiata 2007";"Pino radiata 2008";"Pino radiata 2009";"Pino radiata 2010";"Pino radiata 2011";"Pino radiata 2012";"Pino radiata 2013";"Pino radiata 2014";"Pino radiata 2015";"Pino radiata 2016";"Pino radiata 2017";"Pino radiata 2018";"Pino silvestre 2006";"Pino silvestre 2007";"Pino silvestre 2008";"Pino silvestre 2009";"Pino silvestre 2010";"Pino silvestre 2011";"Pino silvestre 2012";"Pino silvestre 2013";"Pino silvestre 2014";"Pino silvestre 2015";"Pino silvestre 2016";"Pino silvestre 2017";"Pino silvestre 2018";"Quercíneas 2006";"Quercíneas 2007";"Quercíneas 2008";"Quercíneas 2009";"Quercíneas 2010";"Quercíneas 2011";"Quercíneas 2012";"Quercíneas 2013";"Quercíneas 2014";"Quercíneas 2015";"Quercíneas 2016";"Quercíneas 2017";"Quercíneas 2018";"Otras especies 2006";"Otras especies 2007";"Otras especies 2008";"Otras especies 2009";"Otras especies 2010";"Otras especies 2011";"Otras especies 2012";"Otras especies 2013";"Otras especies 2014";"Otras especies 2015";"Otras especies 2016";"Otras especies 2017";"Otras especies 2018"
"33030 Illas";9977;6642;8462;6313;4042;3349;5017;10697;2795;10473;11666;15495;16279;8;0;24;16;46;46;99;0;8;33;1;171;27;9969;6613;7995;6100;3905;3285;4875;10611;2772;9990;11425;15140;16037;0;27;429;174;83;0;20;81;15;250;44;77;168;0;0;0;0;0;1;0;0;0;0;0;47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..;..;..;..;..;..;..;..;..;2;0;2;6;0;2;14;23;8;17;23;5;0;198;196;58;41
"33031 Langreo";1976;1035;496;1035;184;645;1803;533;724;744;425;838;70;1339;902;308;208;1;153;375;264;24;83;69;305;41;428;0;131;767;183;458;1309;149;664;535;314;451;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;10;0;0;8;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..;..;..;..;..;..;..;..;..;73;28;53;2;209;133;57;60;0;15;109;120;36;45;14;19;27
"33032 Laviana";569;604;500;341;244;299;176;387;209;293;136;154;11;489;520;305;233;181;186;165;135;195;243;46;150;0;1;0;10;22;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;11;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..;..;..;..;..;..;..;..;..;42;70;0;11;58;73;185;86;63;102;9;252;14;8;20;4;0
"33033 Lena";4539;3652;1064;1584;626;1450;2715;476;592;1585;10;835;175;3443;3138;818;1432;411;1250;191;274;170;1416;10;233;122;135;17;3;0;160;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;27;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..;..;..;..;..;..;..;..;..;88;0;296;40;961;468;241;151;55;200;2524;202;422;81;0;306;13
"33034 Valdés";41960;60550;3121;50818;39584;49098;27191;72751;52833;62493;53511;73731;78034;2009;4088;20;2266;4733;2317;541;1889;1444;3319;1743;1306;1207;19934;28339;1651;25756;25577;35832;16212;35992;30941;32802;34335;32061;33422;14761;23451;1049;20809;6873;6620;5084;26018;13897;16921;11527;25984;23884;4527;3309;369;1509;1918;3669;4957;6270;5923;7764;4433;13820;19188;0;0;0;21;9;0;0;0;0;0;0;0;0;..;..;..;..;..;..;..;..;..;573;377;343;230;729;1363;32;457;474;660;397;2582;628;1114;1096;217;103
"33035 Llanera";11487;8911;10776;10183;31671;16866;10091;12824;34986;14328;10257;10123;5572;319;227;126;217;111;735;82;514;220;108;172;26;4;10971;8475;10486;9690;31432;15972;9746;12112;34462;13963;10015;9981;5549;134;98;49;152;7;37;112;52;167;123;0;54;0;0;31;37;0;8;0;0;7;33;12;0;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..;..;..;..;..;..;..;..;..;39;7;24;15;63;80;78;124;113;122;151;139;104;83;63;0;4
"33036 Llanes";13233;7433;20885;26573;13132;45668;37710;13699;10937;20998;20394;18526;23748;76;0;129;41;17;71;1;130;32;103;6;16;21;6656;1501;12577;18396;13065;37844;32293;13242;10857;20684;19343;16583;23550;0;0;0;0;1;1380;1380;0;0;0;986;0;0;6457;5926;7399;8056;0;2319;4028;234;0;128;18;1749;84;0;0;0;0;0;0;0;0;0;0;0;0;0;..;..;..;..;..;..;..;..;..;46;35;48;45;44;6;780;80;49;4054;8;93;48;37;6;130;48
"33037 Mieres";2811;3201;311;3464;2402;883;4547;3300;1042;3397;4318;2584;612;2135;2833;176;1353;876;733;457;631;432;1437;588;1202;503;572;167;135;1988;1474;72;3303;2529;566;1765;3598;1140;0;0;0;0;0;0;0;23;0;0;0;0;0;0;0;0;0;0;0;0;37;0;0;0;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..;..;..;..;..;..;..;..;..;39;26;188;58;104;201;0;123;52;78;727;140;44;156;71;54;51
"33038 Morcín";120;164;84;82;121;0;166;140;18;2;910;90;107;93;91;0;76;97;0;121;8;18;0;31;0;22;0;60;84;0;0;0;27;119;0;0;697;90;53;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;121;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..;..;..;..;..;..;..;..;..;1;24;0;0;27;8;0;6;24;0;18;13;0;1;37;0;32
"33039 Muros de Nalón";4029;1471;3940;1363;1346;2067;1597;2955;2476;2582;2098;4442;8035;7;0;8;33;9;19;17;63;3;0;54;2;10;2888;1368;2778;1316;1226;2028;1521;2892;2470;2345;1982;4440;8009;1133;103;1133;0;111;8;56;0;0;220;4;0;5;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..;..;..;..;..;..;..;..;..;0;4;0;0;1;0;4;14;0;12;3;0;3;17;54;0;11
"33040 Nava";4989;720;75;966;2149;1652;4874;4564;3595;6421;9621;1855;2600;294;90;56;42;351;412;332;412;537;224;481;6;57;1219;263;0;269;1211;978;1801;1636;2430;2283;2900;485;1620;0;2;0;0;0;0;0;6;217;0;0;0;0;3378;304;0;304;332;209;2461;2433;138;3496;5860;1334;857;0;0;0;0;0;0;0;0;0;0;0;0;0;..;..;..;..;..;..;..;..;..;183;344;9;4;98;61;19;351;255;53;280;77;273;235;36;21;62
"33041 Navia";13776;9547;0;20849;4489;4029;6312;4893;12965;30193;15142;21187;20387;47;23;0;19;28;41;9;56;170;94;71;60;55;10183;7175;0;16319;1891;1892;5211;2446;7476;23027;9426;16966;7341;3435;1958;0;4488;2313;2047;894;1703;4500;5801;5279;4007;11746;55;367;0;0;257;0;194;661;724;1055;136;70;1229;0;0;0;0;0;0;0;0;0;0;0;0;0;..;..;..;..;..;..;..;..;..;22;1;30;16;56;24;0;23;0;49;4;27;95;194;229;54;0
"33042 Noreña";239;0;0;1256;0;0;0;0;0;73;0;0;386;11;0;0;0;0;0;0;0;0;0;0;0;0;188;0;0;1256;0;0;0;0;0;73;0;0;386;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..;..;..;..;..;..;..;..;..;0;0;0;0;40;0;0;0;0;0;0;0;0;0;0;0;0
"33043 Onís";92;176;825;60;0;21;0;0;37;320;2519;707;505;73;135;782;48;0;10;0;0;0;0;151;25;0;0;0;17;0;0;0;0;0;0;210;2221;682;505;1;0;0;0;0;0;0;0;37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..;..;..;..;..;..;..;..;..;68;100;0;0;18;41;26;12;0;11;0;0;0;42;47;0;0
"33044 Oviedo";4841;1548;4249;6017;2210;4833;1363;4106;2683;25267;6772;5991;6555;712;751;351;1622;662;664;180;378;131;1239;524;691;485;3942;546;3811;4118;1293;4010;1122;3571;2481;22283;5954;4227;5928;0;39;0;2;36;0;0;119;0;16;4;0;0;63;35;0;17;18;72;20;0;36;1432;2;0;40;0;0;0;0;0;0;0;0;0;0;0;0;0;..;..;..;..;..;..;..;..;..;208;167;112;60;124;177;87;258;201;87;41;38;35;89;121;961;42
"33045 Parres";4363;166;6755;409;3853;2631;767;7958;7167;6227;2054;3832;2625;56;21;71;0;4;35;33;3;7;79;39;94;0;3393;37;5714;381;3782;2541;622;6781;3067;2734;1064;3431;1065;500;0;1;0;0;0;52;0;56;185;0;70;265;197;0;650;0;62;0;0;1144;3991;3229;942;4;1045;0;0;0;0;0;0;0;0;0;0;0;0;0;..;..;..;..;..;..;..;..;..;0;9;125;230;217;108;319;28;5;55;60;30;46;0;0;108;20
"33046 Peñamellera Alta";63;423;0;0;383;518;0;0;0;0;0;0;40;9;0;0;0;0;0;0;0;0;0;0;0;0;54;85;0;0;383;518;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;0;0;0;0;0;0;0;0;0;0;0;0;0;..;..;..;..;..;..;..;..;..;0;0;0;0;0;338;0;0;0;0;0;0;0;0;0;0;0
"33047 Peñamellera Baja";0;1827;0;530;4101;597;597;0;2025;3847;11008;1199;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1827;0;530;4101;597;597;0;2025;3835;11007;1199;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..;..;..;..;..;..;..;..;..;4;1;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0
"33048 Pesoz";4302;4320;162;875;5678;15541;5847;4411;4056;796;4793;41;0;0;0;0;133;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;717;0;20;2500;15500;0;2432;1382;139;0;2;0;4302;3596;92;562;3177;41;5847;1954;2674;657;4793;38;0;0;0;0;0;0;0;0;25;0;0;0;0;0;..;..;..;..;..;..;..;..;..;0;0;0;0;0;7;70;160;1;0;0;0;0;0;0;1;0
"33049 Piloña";8340;2084;2577;3592;4221;13226;9943;17380;19331;5393;10269;4020;15529;440;376;331;154;177;207;110;511;293;88;364;132;146;6685;424;1352;2464;2766;11977;8749;5179;15489;2808;2576;2737;14284;0;0;0;0;0;0;0;0;0;0;0;0;0;768;630;580;649;518;367;634;11512;2583;2124;6420;605;538;0;0;0;10;0;0;0;0;0;0;0;0;0;..;..;..;..;..;..;..;..;..;302;615;425;321;447;654;314;315;760;675;450;178;966;71;294;121;240
"33050 Ponga";0;110;0;0;0;0;0;0;0;0;0;0;9;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..;..;..;..;..;..;..;..;..;0;0;0;3;0;101;0;0;0;0;0;0;0;0;0;0;6
"33051 Pravia";43409;45139;38993;27510;48207;35672;39245;51595;49070;53482;63546;68441;82350;839;1166;1973;2032;1345;335;859;1158;1063;2112;1143;596;684;34326;41213;34956;24566;44834;33256;37323;48182;40672;47361;58690;65727;77007;6358;1653;1821;648;894;1232;588;1495;2815;2405;1253;961;2142;1601;955;147;220;679;201;329;551;4329;726;1631;1082;1857;0;0;0;0;0;0;0;0;0;0;0;0;0;..;..;..;..;..;..;..;..;..;81;91;32;85;285;152;96;44;455;648;146;209;191;797;738;43;575
"33052 Proaza";544;187;194;145;73;15054;410;2067;927;2044;1037;279;126;525;187;158;122;72;538;347;680;818;158;860;271;108;0;0;0;0;0;0;4;0;20;0;24;0;16;2;0;0;0;0;6500;0;0;0;0;0;0;0;0;0;0;0;0;8001;24;1374;0;1860;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..;..;..;..;..;..;..;..;..;2;38;2;0;17;0;36;23;1;15;35;13;89;24;114;6;2
"33053 Quirós";1979;814;305;1515;810;905;850;407;196;1080;890;260;443;1703;612;200;986;695;303;381;236;0;174;813;120;122;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;17;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..;..;..;..;..;..;..;..;..;40;11;74;124;276;202;104;529;115;585;469;168;196;866;66;66;197
"33054 Regueras, Las";7982;4918;10749;6656;6261;9812;5027;4217;10475;11220;9579;15810;15944;468;39;432;142;276;750;112;548;314;311;218;265;172;7053;4256;6484;2832;5557;8674;4532;3452;8094;9091;9002;15042;12709;159;110;3162;3125;230;212;295;155;1880;312;23;308;2013;33;240;470;500;85;32;5;19;103;1145;46;77;909;0;0;0;0;0;14;14;0;0;0;0;0;0;..;..;..;..;..;..;..;..;..;79;62;79;133;269;273;201;57;113;130;69;43;84;282;228;39;8
"33055 Ribadedeva";2497;2166;5578;4538;12808;4865;3694;6398;533;6090;4142;2929;3735;0;0;0;1;1;0;17;0;13;19;0;3;0;2497;2166;5497;4535;12785;4865;3645;6398;514;6044;4142;2924;3688;0;0;81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..;..;..;..;..;..;..;..;..;0;0;2;34;0;0;0;2;22;0;32;0;6;27;0;0;13
"33056 Ribadesella";7053;2521;6946;18991;18760;12260;16417;13474;28511;11773;23119;22959;22971;0;0;125;0;2;23;21;0;1;0;10;17;0;7053;2411;6643;18850;18726;12190;16396;13469;28494;11730;23087;22906;22854;0;0;0;0;0;0;0;0;0;0;0;0;0;0;110;115;134;0;3;0;0;0;29;22;30;114;0;0;0;0;0;0;0;0;0;0;0;0;0;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;63;7;32;44;0;5;16;14;0;6;3
"33057 Ribera de Arriba";52;349;0;189;255;0;94;857;202;171;159;154;736;39;311;0;25;207;0;0;83;0;99;0;10;380;10;4;0;17;0;0;94;773;200;26;151;135;35;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..;..;..;..;..;..;..;..;..;37;8;9;88;3;34;0;147;38;0;0;1;2;9;0;0;233
"33058 Riosa";1865;1613;0;252;137;295;160;452;493;0;0;0;0;1685;1544;0;211;83;194;60;420;456;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..;..;..;..;..;..;..;..;..;0;0;0;0;180;65;0;41;54;95;100;32;37;0;0;0;0
"33059 Salas";33837;52729;26701;18344;27338;36756;23995;41193;37639;46451;63922;71194;43041;6669;5528;3483;1848;2268;4635;2224;3347;5776;2319;4690;5307;4362;17414;36326;17575;13039;19573;23909;14851;26030;21166;23654;38224;44956;22006;920;1828;829;999;328;2185;2487;1871;1343;915;1004;2511;1970;8048;7899;3547;1236;4627;3947;4187;9348;8465;18724;18924;17366;12096;142;86;460;458;213;0;0;10;0;24;0;0;1894;..;..;..;..;..;..;..;..;..;173;237;412;291;644;1062;807;764;329;2080;246;587;889;642;843;642;422
"33060 San Martín del Rey Aurelio";1244;723;232;144;680;153;379;53;24;50;185;0;56;1006;589;201;112;173;92;47;49;0;30;0;0;0;19;29;0;20;176;42;305;0;24;0;175;0;56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;160;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..;..;..;..;..;..;..;..;..;8;0;0;0;219;105;31;12;171;19;27;4;0;12;10;0;0
"33061 San Martín de Oscos";1236;440;233;2900;811;3864;3969;41;51;223;4384;3763;11697;10;29;38;13;14;0;22;0;0;113;0;68;0;0;0;0;28;32;0;0;0;51;0;0;2;0;12;30;0;1;22;3864;3870;1;0;0;0;20;160;188;201;71;2505;323;0;5;19;0;0;4285;3176;11420;855;33;0;58;2;0;0;0;0;0;0;350;0;..;..;..;..;..;..;..;..;..;17;6;67;42;171;147;124;295;418;0;72;21;0;93;93;80;75
"33062 Santa Eulalia de Oscos";2991;3102;227;554;2499;1129;588;1386;1017;3332;1239;3763;8857;211;1086;139;119;444;239;102;418;91;148;172;68;364;6;23;0;0;0;12;0;0;0;1;0;2;0;350;190;0;56;3;3;0;11;58;4;4;20;40;1883;681;45;224;1754;362;361;685;712;2939;897;3176;7680;37;118;0;47;0;0;0;0;0;0;0;350;54;..;..;..;..;..;..;..;..;..;102;91;67;439;504;1004;43;108;298;513;125;272;156;138;75;80;280
"33063 San Tirso de Abres";5089;10576;8640;7202;5814;13601;3121;21951;16943;20769;27617;13614;50574;5;36;9;4;2;21;22;246;63;171;292;63;53;4200;9800;8087;7028;5524;11994;2891;19905;14688;15771;24487;12624;44935;468;377;305;114;238;764;164;1009;1127;3234;1338;357;3500;416;319;205;47;50;766;44;584;893;933;700;492;1731;0;0;0;0;0;0;0;0;0;0;0;0;0;..;..;..;..;..;..;..;..;..;36;45;5;3;0;44;34;9;0;56;0;207;172;624;755;73;352
"33064 Santo Adriano";50;12;78;261;236;0;0;0;387;464;450;1087;0;46;12;0;180;228;0;0;0;370;206;440;1045;0;0;0;78;50;0;0;0;0;0;204;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..;..;..;..;..;..;..;..;..;37;3;27;0;4;0;0;31;8;0;0;0;17;17;7;15;0
"33065 Sariego";910;54;0;282;1421;620;477;1124;321;87;604;1052;707;10;17;0;10;62;27;7;4;60;2;280;154;4;877;35;0;105;1343;411;166;1047;124;68;283;840;651;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;140;0;176;303;0;100;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..;..;..;..;..;..;..;..;..;17;19;51;40;23;2;0;27;16;6;1;73;37;0;13;7;12
"33066 Siero";3115;5608;7686;14751;8736;6892;10369;7367;11695;5225;14583;4454;14906;1048;809;804;848;613;559;376;446;612;407;714;143;93;1773;4137;6610;13163;7672;5858;9115;6545;10790;4320;13170;4114;14193;5;222;4;124;0;114;136;73;49;74;46;0;86;8;24;25;5;161;10;104;73;120;0;249;95;5;0;0;0;5;0;0;0;0;0;0;0;0;0;..;..;..;..;..;..;..;..;..;166;139;60;161;281;416;243;606;290;351;638;230;124;258;265;42;368
"33067 Sobrescobio";13;0;21;797;161;273;44;0;0;0;0;809;0;0;0;20;797;161;199;31;0;0;0;0;765;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..;..;..;..;..;..;..;..;..;0;0;27;0;13;0;1;0;0;74;13;0;0;0;0;17;0
"33068 Somiedo";140;0;61;0;22;0;42;0;67;157;0;68;0;60;0;23;0;22;0;42;0;28;0;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;157;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..;..;..;..;..;..;..;..;..;0;0;39;0;80;0;38;0;0;0;0;0;39;0;0;0;0
"33069 Soto del Barco";18507;14159;25520;16502;19954;28925;17394;27626;22319;12766;20961;32290;30674;810;38;96;0;128;218;232;339;102;75;24;62;103;17574;14080;25354;16315;19754;28194;16303;26957;21902;12490;20359;32180;30471;39;0;59;32;30;72;54;63;202;14;487;30;66;53;4;6;136;3;0;0;0;99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..;..;..;..;..;..;..;..;..;14;6;11;31;31;37;5;19;39;441;805;267;14;173;85;7;3
"33070 Tapia de Casariego";9088;6076;450;9881;31106;9060;9627;27806;29096;43280;48583;21119;38930;73;148;4;174;114;228;93;397;170;342;174;221;414;2244;1541;350;4793;26918;7337;7071;24383;23346;33208;17971;10756;15494;6224;2875;0;2996;3464;711;1665;560;4350;6297;19053;5256;15713;340;1256;22;1734;283;665;704;2373;1051;2392;10695;4809;7064;0;0;0;0;0;0;0;0;0;0;0;0;0;..;..;..;..;..;..;..;..;..;174;19;17;21;207;256;74;184;327;119;94;93;179;867;671;60;224
"33071 Taramundi";3084;7180;6104;6161;10207;34355;34119;5397;16351;9052;37706;37622;27375;206;112;904;476;1021;550;205;976;1771;900;116;337;272;949;1037;2225;1983;2195;5145;4949;2764;2556;2108;6066;6876;3757;80;4328;103;111;127;4438;4583;64;988;924;100;506;1444;928;499;1431;3158;6010;11395;22731;1380;8867;4397;31242;22321;21457;662;792;319;64;198;1369;1369;0;0;0;0;7400;160;..;..;..;..;..;..;..;..;..;301;27;126;33;259;412;1122;369;656;11458;282;213;2169;422;155;56;252
"33072 Teverga";999;2422;2627;2296;876;986;2392;1324;149;33;740;42;324;867;2357;2461;1828;596;685;2120;1262;73;32;599;0;56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..;..;..;..;..;..;..;..;..;1;107;42;249;132;65;166;468;280;301;272;62;76;0;34;0;19
"33073 Tineo";24140;20911;20831;24494;23300;51030;29395;25600;26608;47244;64131;44805;73738;4349;3164;2769;2501;2601;3182;1433;1951;1436;3315;4997;4049;2296;445;312;4002;1943;4673;8308;3302;5065;4212;6408;11174;4988;8116;4705;7029;912;932;1251;16146;8825;3526;804;7215;3089;3682;4965;8712;7366;11233;18046;10580;20311;14859;12854;19576;29210;43871;31573;57493;4558;1921;2;253;3273;0;0;716;0;0;0;30;0;..;..;..;..;..;..;..;..;..;439;439;371;680;1371;1119;1913;819;922;3083;976;1488;580;657;561;112;188
"33074 Vegadeo";8463;6764;21574;5862;22741;10801;13082;38995;22373;29494;35323;54471;120869;32;34;186;38;129;132;26;76;55;205;286;291;356;6709;3945;11544;4550;20047;9291;12107;37929;16804;21284;32114;43435;51631;592;1242;5249;458;60;310;266;537;1603;2329;308;2764;8168;1044;1193;4052;634;383;937;683;426;2717;4905;1831;7807;58143;0;242;0;103;1996;0;0;0;1122;0;0;55;1880;..;..;..;..;..;..;..;..;..;12;16;17;0;86;108;543;79;126;131;0;27;72;759;768;102;691
"33075 Villanueva de Oscos";746;84;31;46;116;0;446;183;373;150;0;165;1374;0;0;0;0;2;0;21;12;4;2;0;0;8;0;0;0;0;0;0;0;50;0;0;0;0;0;2;46;0;0;0;0;0;0;0;0;0;0;0;646;26;0;0;0;0;0;57;272;0;0;140;1068;7;0;0;0;0;0;0;0;0;0;0;25;0;..;..;..;..;..;..;..;..;..;136;0;0;74;91;12;31;46;114;0;425;64;97;12;0;0;224
"33076 Villaviciosa";98053;83176;74374;75847;97416;154855;111009;122849;119121;145934;125222;117055;116667;26;204;73;247;118;131;114;73;226;460;163;136;232;85782;72750;74142;74733;97077;114797;100930;116887;86039;127806;112100;105912;110175;0;217;27;0;2;33;171;404;163;12;140;40;293;12232;9750;0;547;16;35414;4678;2229;31874;16336;10684;10779;5414;0;0;0;0;0;0;4238;2861;162;451;50;0;195;..;..;..;..;..;..;..;..;..;188;167;161;147;13;255;132;320;203;4480;878;395;657;681;1918;27;211
"33077 Villayón";6866;4081;0;2055;1774;4898;5590;6708;8452;17946;16364;12771;10378;0;47;0;26;83;313;17;33;55;154;356;422;77;6567;2774;0;1063;1132;2876;4752;2742;2733;11563;9283;7342;3519;296;1136;0;578;399;1050;631;2915;3498;5627;4454;3878;4166;1;89;0;252;110;463;61;845;2014;402;1377;872;2551;0;0;0;0;0;0;0;0;0;0;0;0;0;..;..;..;..;..;..;..;..;..;37;170;133;18;2;35;0;136;50;196;129;173;152;163;724;124;47
"33078 Yernes y Tameza";0;0;0;0;0;0;86;0;0;0;0;9;0;0;0;0;0;0;0;80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;9;0
"33099 No consta";0;0;0;0;0;0;0;0;593;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;520;0;0;0;0;0;0;0;0;0;0;0;0;73;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
