"Cortas de madera según especie. Concejos"

"Ámbito territorial";"TOTAL 2006";"TOTAL 2007";"TOTAL 2008";"TOTAL 2009";"TOTAL 2010";"TOTAL 2011";"TOTAL 2012";"TOTAL 2013";"TOTAL 2014";"TOTAL 2015";"TOTAL 2016";"TOTAL 2017";"TOTAL 2018";"Castaño 2006";"Castaño 2007";"Castaño 2008";"Castaño 2009";"Castaño 2010";"Castaño 2011";"Castaño 2012";"Castaño 2013";"Castaño 2014";"Castaño 2015";"Castaño 2016";"Castaño 2017";"Castaño 2018";"Eucalipto 2006";"Eucalipto 2007";"Eucalipto 2008";"Eucalipto 2009";"Eucalipto 2010";"Eucalipto 2011";"Eucalipto 2012";"Eucalipto 2013";"Eucalipto 2014";"Eucalipto 2015";"Eucalipto 2016";"Eucalipto 2017";"Eucalipto 2018";"Pino pinaster 2006";"Pino pinaster 2007";"Pino pinaster 2008";"Pino pinaster 2009";"Pino pinaster 2010";"Pino pinaster 2011";"Pino pinaster 2012";"Pino pinaster 2013";"Pino pinaster 2014";"Pino pinaster 2015";"Pino pinaster 2016";"Pino pinaster 2017";"Pino pinaster 2018";"Pino radiata 2006";"Pino radiata 2007";"Pino radiata 2008";"Pino radiata 2009";"Pino radiata 2010";"Pino radiata 2011";"Pino radiata 2012";"Pino radiata 2013";"Pino radiata 2014";"Pino radiata 2015";"Pino radiata 2016";"Pino radiata 2017";"Pino radiata 2018";"Pino silvestre 2006";"Pino silvestre 2007";"Pino silvestre 2008";"Pino silvestre 2009";"Pino silvestre 2010";"Pino silvestre 2011";"Pino silvestre 2012";"Pino silvestre 2013";"Pino silvestre 2014";"Pino silvestre 2015";"Pino silvestre 2016";"Pino silvestre 2017";"Pino silvestre 2018";"Quercíneas 2006";"Quercíneas 2007";"Quercíneas 2008";"Quercíneas 2009";"Quercíneas 2010";"Quercíneas 2011";"Quercíneas 2012";"Quercíneas 2013";"Quercíneas 2014";"Quercíneas 2015";"Quercíneas 2016";"Quercíneas 2017";"Quercíneas 2018";"Otras especies 2006";"Otras especies 2007";"Otras especies 2008";"Otras especies 2009";"Otras especies 2010";"Otras especies 2011";"Otras especies 2012";"Otras especies 2013";"Otras especies 2014";"Otras especies 2015";"Otras especies 2016";"Otras especies 2017";"Otras especies 2018"
"33010 Candamo";30863;22536;23351;6044;15245;24113;53281;33463;33094;22419;20075;28585;33929;978;150;86;132;340;363;700;2615;521;95;439;201;331;29333;20062;20731;5418;14075;19996;34359;28156;27094;12515;15505;25678;33250;150;188;0;79;103;127;446;61;14;69;635;55;0;370;2127;2144;411;460;3529;17706;2190;5451;9452;3008;2630;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..;..;..;..;..;..;..;..;..;40;5;4;4;32;9;390;4;267;98;70;441;14;248;483;17;344
"33011 Cangas del Narcea";2805;2345;1891;1193;5691;9177;14173;4876;2818;10236;2551;23929;85595;1977;1148;423;696;616;615;1139;424;475;1003;1416;215;637;19;0;0;0;36;42;259;363;71;54;24;1051;509;0;0;9;0;0;0;7;1;0;0;0;0;0;175;734;0;250;4808;8170;12471;3935;2153;8238;946;22414;83577;0;0;0;0;64;0;0;0;0;0;0;0;0;..;..;..;..;..;..;..;..;..;104;69;57;244;634;463;1459;247;167;350;297;153;119;837;96;192;628
"33012 Cangas de Onís";171;891;42;861;1825;0;866;949;2328;757;255;1290;1754;18;32;2;5;30;0;4;1;37;0;0;14;2;0;844;0;788;1762;0;817;928;2209;725;128;1241;1674;42;15;0;23;13;0;18;0;0;0;103;0;0;0;0;0;13;0;0;0;0;0;0;24;10;70;0;0;0;0;0;0;0;0;0;0;0;0;0;..;..;..;..;..;..;..;..;..;26;0;14;8;111;0;40;32;20;0;27;20;82;6;0;11;0
"33013 Caravia";3817;2613;1300;6810;5121;1445;1566;3566;4730;2357;2245;1535;4895;0;6;0;0;0;0;1;0;4;0;0;0;21;3796;2595;1300;6799;5121;1445;1562;3566;4689;2357;2245;1535;4805;0;5;0;0;0;0;0;0;1;0;0;0;0;13;0;0;9;0;0;0;0;0;0;0;0;40;0;0;0;0;0;0;0;0;0;0;0;0;0;..;..;..;..;..;..;..;..;..;0;0;0;17;8;7;0;2;0;0;3;0;36;0;0;0;12
"33014 Carreño";15445;19985;20870;14004;34447;29689;14885;18453;22778;56484;24911;18254;15682;116;103;161;298;6;79;66;65;46;180;2;6;47;15142;19617;20401;13108;34015;29174;14703;18251;22622;55670;24568;18026;15212;125;213;301;582;384;393;79;41;71;228;136;192;313;0;25;0;0;7;27;0;0;0;0;11;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..;..;..;..;..;..;..;..;..;36;0;0;9;62;27;7;16;35;16;37;96;39;370;194;0;101
"33015 Caso";295;599;692;162;464;281;207;3352;3200;70;4198;0;8;155;520;624;155;326;258;153;3343;3060;50;4049;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;..;..;..;..;..;..;..;..;..;12;55;0;0;140;79;60;7;138;23;54;9;140;8;94;0;5
"33016 Castrillón";19041;25295;34458;23105;23257;12698;20028;17254;15190;20937;39368;27874;30600;159;164;172;65;93;137;270;94;1507;20;265;51;40;18376;24164;33457;22758;22444;12327;19520;16897;13600;20074;37671;27530;30288;383;702;525;253;519;156;65;157;20;679;973;281;256;0;3;124;8;2;7;0;0;30;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;..;..;..;..;..;..;..;..;..;12;71;12;8;123;262;180;21;199;71;173;106;33;152;388;0;0
"33017 Castropol";29348;29696;13720;11213;8150;17957;22588;31779;31554;55599;40793;38946;110387;264;1384;153;80;165;120;144;397;110;192;328;243;356;20966;18577;8644;6839;6105;14455;19639;19266;21453;43732;20982;32163;50088;6194;6548;2973;3054;1525;2340;1323;10040;3994;2872;8202;4695;12905;1691;2377;1740;1200;295;919;1424;1872;5786;7812;10329;1784;46904;0;7;0;0;0;0;0;0;163;0;0;0;0;..;..;..;..;..;..;..;..;..;20;90;9;23;233;803;210;40;60;123;58;204;48;971;862;52;111
"33018 Coaña";4403;47502;0;27568;8159;17344;4484;3640;13844;15796;13256;7833;17445;33;32;0;39;258;60;89;25;232;158;50;136;71;2598;44498;0;25228;7218;16950;3408;3451;8393;11328;11348;6304;11503;1683;2931;0;2200;601;175;788;141;3701;2888;1673;1267;4518;35;16;0;65;0;22;73;0;1357;1088;40;22;1253;0;0;0;0;0;0;0;0;0;0;0;0;0;..;..;..;..;..;..;..;..;..;25;5;72;23;54;25;0;36;82;137;126;23;161;309;140;32;77
"33019 Colunga";24570;24759;33092;19821;41602;37300;43575;40583;62561;61734;52654;70301;52114;44;52;44;38;27;8;1;0;27;129;10;82;10;24257;24603;33043;19725;41490;37199;43534;40583;62428;61193;52643;69803;51920;0;4;0;0;0;0;0;0;1;36;0;50;0;250;0;0;0;0;80;0;0;4;116;0;230;40;0;0;0;0;0;0;0;0;0;0;0;0;0;..;..;..;..;..;..;..;..;..;72;0;53;144;19;100;5;58;85;13;40;0;101;188;1;83;0
